ts_code,trade_date,close,pct_chg,score,volume_ratio,structure,ma10,ma20,macd_dif,macd_dea,rsi6,boll_mid,turnover,avg_turnover_5,atr_ratio,price_vs_ma20,tier,ma5,kdj_k,kdj_d,wr1,wr2,regime,entry_price,ret_1,ret_3,ret_5
159339.SZ,20241231.000000,0.965000,-1.731200,4,,,0.973000,0.973900,,,35.609499,,1188474.552000,970419.440600,0.012657,-0.009139,B,0.976000,54.745096,54.091814,74.999997,95.454541,sideways,0.965000,-0.031088,-0.045596,-0.041451
159352.SZ,20241231.000000,0.994065,-1.567100,3,,,1.003264,1.004055,,,33.112990,,3930813.183000,3414311.579200,0.012367,-0.009950,C,1.004946,51.480599,52.987724,78.573747,95.652743,sideways,0.994065,-0.030845,-0.047760,-0.040796
159361.SZ,20241231.000000,0.970000,-1.921100,3,,,0.980200,0.981400,,,33.190754,,3237755.642000,3251705.605200,0.012592,-0.011616,C,0.982600,52.536387,54.377821,82.142854,99.999996,sideways,0.970000,-0.029897,-0.045361,-0.039175
159636.SZ,20241231.000000,1.029000,-1.625200,3,,,1.032000,1.030600,,,46.445695,,87017.864000,204036.012000,0.017701,-0.001552,C,1.037200,68.314518,63.713444,46.666666,83.999997,sideways,1.029000,-0.012634,-0.004859,-0.040816
159740.SZ,20241231.000000,0.595000,-2.138200,3,,,0.603600,0.602950,,,32.947658,,546414.642000,462675.897800,0.017407,-0.013185,C,0.605200,49.199314,54.363620,86.956518,99.999995,sideways,0.595000,-0.013445,-0.005042,-0.023529
513010.SH,20241231.000000,0.626000,-1.880900,4,,,0.632800,0.630800,,,37.413290,,391470.979000,334685.060200,0.017230,-0.007609,B,0.635400,54.910541,57.779186,74.074071,95.238091,sideways,0.626000,-0.015974,-0.006390,-0.025559
513130.SH,20241231.000000,0.596000,-2.134600,3,,,0.605000,0.604200,,,33.837011,,2369211.056000,1607272.357400,0.018456,-0.013572,C,0.606600,48.577929,54.301658,87.499996,95.454541,sideways,0.596000,-0.013423,-0.008389,-0.026846
513180.SH,20241231.000000,0.611000,-1.926200,4,,,0.619100,0.617300,,,35.753632,,2350099.209000,1900329.117000,0.017653,-0.010206,B,0.621200,51.913037,56.977789,80.769228,95.454541,sideways,0.611000,-0.014730,-0.004910,-0.022913
513650.SH,20241231.000000,1.595000,-0.684900,4,,,1.610500,1.614300,,,36.547540,,212048.262000,264002.403800,0.012674,-0.011956,B,1.615400,50.559467,52.893730,65.217390,84.999998,sideways,1.595000,0.006897,0.018809,0.011912
513980.SH,20241231.000000,0.546000,-2.325600,3,,,0.554400,0.552950,,,34.337091,,477529.754000,237604.978400,0.019362,-0.012569,C,0.556600,55.445731,59.868983,76.923074,99.999995,sideways,0.546000,-0.012821,-0.007326,-0.038462
560610.SH,20241231.000000,0.940945,-1.341600,4,,,0.947146,0.948376,,,37.700163,,1741137.690000,1539571.257800,0.012627,-0.007835,B,0.949213,54.471114,53.019817,67.858048,90.474113,sideways,0.940945,-0.029289,-0.048118,-0.043933
563220.SH,20241231.000000,0.992000,-1.684800,3,,,1.001300,1.002250,,,34.366692,,1807329.963000,1489021.150600,0.012457,-0.010227,C,1.003600,53.938231,54.432951,77.777775,99.999995,sideways,0.992000,-0.029234,-0.045363,-0.040323
563360.SH,20241231.000000,1.012000,-1.460600,4,,,1.019800,1.021550,,,36.322937,,4196035.524000,3597532.232400,0.012846,-0.009349,B,1.022000,52.712694,52.237627,72.413791,95.454541,sideways,1.012000,-0.031621,-0.047431,-0.041502
159636.SZ,20250102.000000,1.016000,-1.263400,4,,,1.031700,1.030450,,,37.359879,,132554.347000,227128.821400,0.017717,-0.014023,B,1.033400,49.816516,59.081134,75.555554,87.179485,sideways,1.016000,0.006890,-0.016732,-0.024606
513650.SH,20250102.000000,1.606000,0.689700,4,,,1.607400,1.614200,,,46.276808,,319792.253000,287244.216800,0.012542,-0.005080,B,1.611000,53.821253,53.202904,39.655172,57.499999,sideways,1.606000,-0.007472,0.008095,0.002491
159636.SZ,20250103.000000,1.023000,0.689000,6,,,1.031500,1.031050,,,44.389201,,200938.614000,259954.220800,0.017944,-0.007808,B,1.029800,43.467421,53.876563,69.230767,69.230767,sideways,1.023000,0.000978,-0.035191,-0.041056
159659.SZ,20250103.000000,1.721000,-1.035100,3,,,1.732600,1.718150,,,46.993871,,733180.936000,956536.554800,0.020462,0.001659,C,1.730200,48.298075,58.944613,55.118110,76.086956,sideways,1.721000,0.027891,0.005811,-0.001162
513310.SH,20250103.000000,1.417000,1.504300,6,,,1.433800,1.418100,,,44.776156,,559089.035000,521502.252000,0.019105,-0.000776,A,1.427200,44.858054,57.582706,62.820512,62.820512,sideways,1.417000,0.024700,0.062103,0.057869
513630.SH,20250103.000000,1.275000,0.552100,6,,,1.285600,1.276850,,,43.340015,,301550.276000,297678.735400,0.016751,-0.001449,B,1.287800,36.074348,51.779626,81.730768,91.397848,sideways,1.275000,0.001569,-0.010196,-0.018039
513910.SH,20250103.000000,1.315000,0.612100,5,,,1.329800,1.316600,,,44.722609,,120044.373000,220112.472800,0.026073,-0.001215,B,1.329200,29.483294,37.000890,79.230769,87.999999,sideways,1.315000,0.001521,-0.016730,-0.033460
